job_from,job_to,coverage
R0002_55043311,R0043_55039830,0.40816326530612246
R0002_55043311,R0043_55034325,0.40816326530612246
R0002_55043311,R0043_55039829,0.40816326530612246
R0002_55043311,R0043_55031080,0.40816326530612246
R0002_55043311,R0043_55031077,0.40816326530612246
R0002_55043311,R0043_55017366,0.40816326530612246
R0002_55043311,R0043_55034335,0.40816326530612246
R0002_55043311,R0043_55031005,0.40816326530612246
R0002_55043311,R0055_55007584,0.4897959183673469
R0002_55043311,R0055_55007583,0.4897959183673469
R0002_55043311,R0204_55005925,0.5306122448979592
R0002_55043311,R0204_55032685,0.5306122448979592
R0002_55043311,R0204_55035156,0.5306122448979592
R0002_55043311,R0204_55022352,0.5306122448979592
R0002_55043311,R0204_55004131,0.5306122448979592
R0002_55043311,R0207_55036375,0.46938775510204084
R0002_55043311,R0207_55032672,0.46938775510204084
R0002_55043311,R0207_55032673,0.46938775510204084
R0002_55043311,R0290_55038074,0.46938775510204084
R0002_55043311,R0290_55041439,0.46938775510204084
R0002_55043311,R0290_55041442,0.46938775510204084
R0002_55043311,R0290_55041438,0.46938775510204084
R0002_55043311,R0290_55041440,0.46938775510204084
R0002_55043311,R0290_55041441,0.46938775510204084
R0002_55043311,R0290_55030423,0.46938775510204084
R0002_55043311,R0290_55039755,0.46938775510204084
R0002_55043311,R0290_55026840,0.46938775510204084
R0002_55043311,R0290_55038681,0.46938775510204084
R0002_55043311,R0290_55033209,0.46938775510204084
R0002_55043311,R0290_55043722,0.46938775510204084
R0002_55043311,R0377_55039577,0.5510204081632653
R0002_55043311,R0377_55032663,0.5510204081632653
R0002_55043311,R0377_55036003,0.5510204081632653
R0002_55043311,R0377_55036004,0.5510204081632653
R0002_55043311,R0377_55036006,0.5510204081632653
R0002_55043311,R0377_55036007,0.5510204081632653
R0002_55043311,R0377_55036008,0.5510204081632653
R0002_55043311,R0377_55036009,0.5510204081632653
R0002_55043311,R0377_55043375,0.5510204081632653
R0002_55043311,R0377_55032655,0.5510204081632653
R0002_55043311,R0377_55034860,0.5510204081632653
R0002_55043311,R0377_55042881,0.5510204081632653
R0002_55043311,R0377_55033035,0.5510204081632653
R0002_55043311,R0377_55044076,0.5510204081632653
R0002_55043311,R0377_55036698,0.5510204081632653
R0002_55043311,R0377_55032664,0.5510204081632653
R0002_55043311,R0377_55038331,0.5510204081632653
R0002_55043311,R0377_55041814,0.5510204081632653
R0002_55043311,R0377_55041025,0.5510204081632653
R0002_55043311,R0377_55039651,0.5510204081632653
R0002_55043311,R0377_55044100,0.5510204081632653
R0002_55043311,R0377_55026719,0.5510204081632653
R0002_55036002,R0002_55043311,1.0
R0002_55036002,R0002_55015378,1.0
R0002_55036002,R0002_55032731,1.0
R0002_55036002,R0002_55025944,1.0
R0002_55036002,R0002_55024341,1.0
